-250	-250	-160
-250	250	-160
-250	250	-38
-250	-250	-38
-220	-220	0
-220	220	0
220	220	0
220	-220	0
250	-250	-38
250	250	-38
220	250	-160
220	-250	-160

-220	-220	0
-220	220	0
-220	220	712
-220	-220	440
-150	-75	862
-150	75	862
150	75	862
150	-75	862
220	-220	440
220	220	712
220	220	0
220	-220	0

-150	-75	-75
-150	75	-75
-150	105	200
-150	-45	200
-150	-75	675
-150	75	675
150	75	675
150	-75	675
150	-45	200
150	105	200
150	75	-75
150	-75	-75

-200	-587	90
-200	-587	-90
-387	0	-90
-387	0	90
-113	972.5	72.5
-113	972.5	-72.5
113	972.5	-72.5
113	972.5	72.5
387	0	90
387	0	-90
200	-587	-90
200	-587	90

-113	-72.5	72.5
-113	-72.5	-72.5
-113	80	-72.5
-113	80	72.5
-22.5	112	22.5
-22.5	112	-22.5
22.5	112	-22.5
22.5	112	22.5
113	80	72.5
113	80	-72.5
113	-72.5	-72.5
113	-72.5	72.5

-22.5	0	22.5
-22.5	0	-22.5
-22.5	25	-22.5
-22.5	25	22.5
-30	38	30
-30	38	-30
30	38	-30
30	38	30
22.5	25	22.5
22.5	25	-22.5
22.5	0	-22.5
22.5	0	22.5

0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
